index,lower,median,upper
73,-0.27985691250000005,-0.17260599999999982,-0.13635707499999988
74,-0.19830506249999968,-0.16518999999999984,-0.07545217500000011
75,-0.20935356249999992,-0.15061275000000002,-0.0766961500000001
76,-0.19114529999999988,-0.08582274999999998,-0.027499612500000038
77,-0.09913675,-0.013392500000000026,0.020904274999999875
78,-0.09099227500000003,-0.027856000000000034,0.020271362499999987
79,-0.07761151249999998,0.045520250000000026,0.09687070000000018
80,-0.06753518750000002,0.06250150000000003,0.11044669999999979
81,-0.001403124999999999,0.035122250000000056,0.09739216249999998
82,-0.09167440000000003,0.040404750000000045,0.08512216249999993
83,-0.03861857499999998,0.11035050000000007,0.16787378750000015
84,-0.02979846249999999,0.0662255,0.16618529999999998
85,-0.09114784999999999,-0.02955724999999998,0.12356113749999997
86,-0.11469330000000004,-0.05700474999999999,0.02756817499999988
87,-0.1116154250000002,-0.06046775000000004,0.07200948749999997
88,-0.1310132500000001,-0.10230875000000007,-0.00816923750000002
89,-0.19524197499999982,-0.15788275000000007,-0.050845699999999994
90,-0.17729807500000005,-0.08701800000000007,-0.06192038750000007
91,-0.1303373875000001,-0.02009925,0.011552937499999999
92,-0.08392841249999995,0.02625224999999999,0.07421332500000005
93,-0.11920457499999991,-0.06597724999999995,0.06758133749999999
94,-0.16739565000000015,-0.13222675000000012,-0.02235466250000001
95,-0.22244709999999987,-0.1748752500000001,-0.03521626250000005
96,-0.13739908750000007,-0.02474325000000002,0.006236612499999994
97,-0.08408178750000005,0.00026625000000000075,0.02201674999999997
98,-0.05723909999999997,-0.007636250000000004,0.03698087499999992
99,-0.08552707499999995,-0.05241875,0.012144662499999941
100,-0.16554932499999997,-0.02960925000000003,0.016671412500000024
101,-0.09526174999999996,-0.022057499999999973,0.028232224999999864
102,-0.12049544999999999,-0.02744999999999996,0.012875912499999986
103,-0.24219091249999963,-0.15701374999999984,0.017128399999999894
104,-0.15973082499999997,-0.13712349999999995,-0.02409820000000017
105,-0.13493037500000007,-0.09701325,-0.03844437500000007
106,-0.10193322499999999,-0.06818075000000003,-0.01668130000000002
107,-0.12501242500000012,-0.09453550000000005,-0.02455081250000004
108,-0.11533121250000002,-0.03183350000000001,0.006874299999999994
109,-0.08561652499999994,-0.028740000000000022,0.021976412499999952
110,-0.13907568749999988,-0.09401274999999992,0.025434874999999992
111,-0.14902992500000004,-0.06568874999999996,-0.03229367500000004
112,-0.12761346250000005,0.036172499999999996,0.08998648750000017
113,-0.11864025000000013,-0.07037024999999991,0.07570022500000004
114,-0.10486521250000001,-0.06062350000000008,0.019743237499999844
115,-0.1571761000000003,-0.10328050000000008,0.034443449999999994
116,-0.13799257500000003,0.05125275000000001,0.13163658749999987
117,-0.032678849999999975,0.04177124999999997,0.1228363374999999
118,-0.0712587375,0.09070475000000003,0.1438114124999998
119,0.014717625000000002,0.1594047499999997,0.22330177500000004
120,0.082664675,0.22004599999999996,0.2842883499999998
121,0.08465583749999989,0.14149174999999992,0.2903541749999997
122,0.09425928749999994,0.21855649999999985,0.2654403499999997
123,0.10688532499999985,0.17427424999999996,0.3419452249999997
124,0.08673293749999998,0.14081250000000017,0.2771125499999996
125,0.12075715000000009,0.1585242500000001,0.2525356749999996
126,0.11294238749999999,0.23713499999999982,0.2797716124999996
127,0.1220580625,0.2778687499999998,0.3318269124999998
128,0.20679319999999987,0.24205675000000013,0.3414663249999995
129,0.21071656250000012,0.3387542499999995,0.3969814124999993
130,0.2201716875,0.34454999999999936,0.3959055874999996
131,0.17696584999999984,0.24619200000000013,0.39616303749999965
132,0.20055335000000005,0.2673537499999997,0.4227259999999994
133,0.23426341249999993,0.28566749999999963,0.4073392749999997
134,0.22954976249999992,0.36129900000000026,0.4062852000000004
135,0.2826419999999998,0.32535824999999957,0.41969224999999943
136,0.24106278749999996,0.3952292499999995,0.44134006249999896
137,0.3094925124999998,0.5015204999999994,0.5801581874999993
138,0.3464958875,0.38435825,0.5468879499999992
139,0.3636932125000002,0.4071662500000002,0.5518076999999993
140,0.3445574625,0.4701964999999998,0.5350618999999994
141,0.43487843749999977,0.567434999999999,0.5902077374999989
142,0.41485382499999984,0.5423394999999995,0.5862526249999992
143,0.4753840999999994,0.516588999999999,0.6059875749999988
144,0.509953362499999,0.6065129999999986,0.6382594124999984
145,0.5737983249999996,0.6114897499999996,0.6604295249999994
146,0.5795071625000001,0.6208684999999994,0.6547165249999998
147,0.508225424999999,0.5578894999999993,0.6814685875
148,0.5844958749999997,0.6252650000000008,0.6599494374999992
149,0.5822634374999994,0.6683862499999997,0.6994305249999996
150,0.573086625000001,0.6148082499999998,0.7241918749999998
151,0.5964890124999999,0.6300895,0.7426550499999999
152,0.6073282249999997,0.6536587499999988,0.7376825999999995
153,0.637959425,0.7041670000000002,0.7449150375
154,0.6666983625000003,0.8031695000000001,0.8569229749999999
155,0.6709858124999993,0.8923212500000004,0.9632955500000013
156,0.7214064250000003,0.8823597499999982,0.9382958250000004
157,0.8072399625000003,0.8407964999999998,0.9284414124999996
158,0.8496856249999998,0.9171199999999989,0.9556240374999986
159,0.8542517624999998,0.9608384999999997,1.0204386874999989
160,0.8094516375000003,0.8592147499999996,1.0157784374999992
161,0.8375746000000001,0.8721209999999999,1.0825585624999983
162,0.8636828249999999,1.0615447499999986,1.1294127874999977
163,0.8620136874999997,1.0924724999999988,1.1724376874999995
